signal_strength,sinr,connected_users,bandwidth_mhz,packet_loss,jitter,mobility_speed,latency,throughput,qos_class
-97.52759286915825,5.553987865158589,229,20,3.533171317337982,27.557858944169688,61.15877409645128,96.586900919041,-14.247416650174522,Poor
-62.95714161540503,16.257028421350743,400,60,1.872401999840085,11.434028712813685,109.06384875828043,64.13571966474233,87.40596289853858,Medium
-76.0803634913157,26.18837507629225,172,60,1.8474096701569014,9.902196184061527,94.22278613074096,60.78542752531573,130.66691857348243,Medium
-84.08049094817781,21.966746592286835,448,40,0.22659639480447302,6.660717772584593,58.48875637209691,59.77225205457242,87.88215600554966,Medium
-110.6388815734538,24.196834435843492,229,40,1.7497246976481988,20.676243890866857,113.44459795377334,58.012020720689755,73.23829705641656,Medium
-110.64032877982784,19.763501001321522,279,20,4.646442011310297,10.369891348323781,6.868403222017125,67.52571760733866,-6.013649205969649,Poor
-116.51498326990803,20.768296935535574,129,60,1.896132685902245,29.644736633876466,111.71983436551008,69.53695542391507,125.90334274671662,Medium
-68.02943125350389,25.47586954695958,403,20,4.15683853110985,10.444859259854644,6.060887085936786,66.97201256842735,31.43428536178122,Poor
-83.93309929540747,7.490040265775578,345,80,4.21162752374967,12.429945356696216,65.67656929376211,84.00482190660007,109.70888310201147,Poor
-77.51564533223727,14.682748909294215,409,20,1.866205781896169,18.496691690149007,106.85291376013029,77.86679287886462,1.8437646322127677,Poor
-118.76493034225186,6.636283254588067,191,100,3.159943401980945,24.248844502547843,31.52651322735634,89.57331685306096,156.06128395361753,Poor
-61.80540887028034,29.63004023989941,488,20,0.47685801136529316,14.616041295023377,56.66981987341902,67.92689605637787,71.4643041840924,Medium
-70.05344155197469,28.321780190598396,115,100,0.5183929036713825,13.257024979879791,38.919465496436,41.23110299752786,237.92514576663496,Medium
-107.25965335930343,1.182804341055177,226,100,0.24328831830856656,29.87349717424944,114.25727004916216,81.17494197126011,124.74420541895488,Poor
-109.09050196757397,21.167255175470654,214,100,2.905075466875547,1.304315593058389,98.8374713703709,48.32259414138781,211.27182599254607,Medium
-108.99572940879398,27.757449522469976,79,80,2.1303548881304852,26.95689337668613,85.08018135916555,48.93980773200765,180.60020534330843,Medium
-101.74546542242774,5.417260353820006,53,20,2.7401617833212004,5.325083952252386,70.51523839381305,56.85913537884237,-10.01453049487425,Poor
-88.51461410206574,17.038356916578884,338,20,2.6053659525419395,23.79183301005849,98.47101471889778,85.96054819057466,29.505478034495646,Poor
-94.08329888147306,27.464648927641257,310,80,1.7510149554536514,18.920015235542643,47.07204498282565,67.67675495568875,180.66315098719068,Medium
-102.52625158811749,1.0183793575739652,237,60,3.3873670741173645,10.91357127944467,53.70622261272742,84.14144601900463,57.97576750001386,Poor
-83.28882631665724,20.922608017405196,193,40,3.7925094045819536,26.34237371010953,87.60020652970337,69.23349036837745,74.06466372746561,Medium
-111.6303683608775,8.920470221176522,116,20,0.07314129438837857,1.3743096114487674,42.93057159524571,46.359907841670704,31.274103750472925,Poor
-102.4713210878869,27.73188586129591,93,40,1.0362114988443916,7.574028910172786,7.6681130458048585,37.62205240256868,96.4798898489974,Medium
-98.0182894023785,29.131747354961032,347,80,3.566179340416684,17.439891091236547,8.920153066328576,69.68725138846068,157.0765343862731,Medium
-92.63580094697784,28.32799467340302,259,60,1.9331008631691708,11.194725541441242,13.843536156684465,54.711047809802565,141.4429468827209,Medium
-72.88944231641918,14.226426499723914,372,60,3.312419734708041,18.700947364231503,104.36175880123953,78.54941661053593,98.88251734143498,Poor
-108.01957307049841,25.861279529679404,450,60,1.7348132986727922,1.6991956088513378,56.66717109074452,61.6857505366363,116.31353307272317,Medium
-89.1459336951833,25.33648195605211,30,80,1.9537757616481854,4.377308983969663,85.54588432136838,43.254765671551006,187.35353622337414,Medium
-84.45512586827745,9.573014197297669,205,100,0.7933943684484246,4.6857909663347375,47.14912027258719,55.40110429692515,169.8185417299451,Medium
-117.21297523680013,24.86746422452032,187,100,1.2911550983308002,6.489225731564273,31.04531368987614,50.68449898396459,218.03653567078047,Medium
-83.54730888591371,1.1102290414647786,426,40,3.0270587875379364,14.32061178321574,41.663060107465434,98.16590700688354,8.340429765109471,Poor
-109.76855257876251,17.88809635446159,484,100,2.165815556575832,22.811732286763565,95.30188143806203,91.66130162908478,151.46255232208998,Poor
-116.09690442088323,6.900265118631092,16,100,3.8715134147229757,27.26062629993813,75.02593500377259,82.30159075699301,144.5817725332948,Poor
-63.06686776480001,3.6170065733183643,79,60,4.262924774691713,25.225803378243135,112.51677359494825,88.07249592192913,72.53476719618139,Poor
-62.06207801552644,2.3085960488762747,136,60,2.7082320910837994,6.709748281494823,81.56457342922008,69.28218075215901,70.94217782880551,Medium
-71.49615911301234,20.888663276344193,408,40,3.791336460280296,13.793366014688338,68.42179581056327,83.65833590800345,72.76925300789085,Poor
-101.72317384959776,10.196248913041984,475,20,1.53452256597285,6.782936334997515,73.22352107830014,71.12738931125713,-11.415812408397224,Poor
-114.13967315961696,21.743003145862843,169,40,2.074856077000391,8.669682683348533,113.08457273620975,59.99305038669608,81.25673219277077,Medium
-78.94601840927058,1.960690223968271,257,40,3.563888381084155,15.602862463844698,94.58411158400473,85.02098139894927,17.84091777074356,Poor
-93.59085037562392,9.45871013491831,212,80,1.9310599640851533,2.9751617169821536,2.884948483972538,70.29456908630212,126.7121975874531,Poor
-112.67770590931327,16.184738771260115,157,80,2.942524675794944,7.327055558204923,64.09676353628367,64.74227861211551,120.3923364176772,Medium
-90.28938539332378,23.721694945168906,481,40,0.9268638954125574,28.1259666779064,82.60060938558777,78.12894514468408,79.8768477779621,Poor
-117.9366887330869,9.562575087962097,152,40,2.99885657485249,14.51737248709618,89.8438174126986,70.92508872548625,28.723952090474658,Poor
-65.44077587527308,18.776741293110273,441,40,4.307568536134468,13.916209253358295,25.5770543176724,86.62829185964264,53.00451751804931,Poor
-104.47320110399899,26.579332447085616,208,100,4.343198199117128,1.422447487787088,104.06128253416227,59.89066181868126,194.8609966827183,Medium
-80.24866293876107,18.475895645469137,414,80,3.6217220316476983,8.174592664692028,114.70117766101964,74.13667145299728,133.55832725418125,Poor
-101.29733543463534,6.988784242609013,435,40,3.7287668953806303,26.122480643483257,28.405836701384374,99.81895542921532,12.734523349509688,Poor
-88.79591872933135,0.7320234466961406,163,60,2.7896372257535034,5.774224419501394,105.91385490206949,77.24683767605109,49.60096639435508,Poor
-87.19738323940322,26.102966217027898,385,60,2.923340450829124,13.03862324650691,11.637451501931446,62.37124381284775,120.54073534361677,Medium
-108.90873266846837,0.6380823255116141,393,100,0.66825290705259,1.4155962701430362,6.684820333829422,76.43285425966975,119.07946358634598,Poor
-61.824922334126484,26.24105018052598,151,100,2.2192959421065055,14.871728968446119,15.506856012329923,58.45062679371429,244.0312896561549,Medium
-73.49203059833313,15.86811402081636,322,20,2.253881419431819,1.6096120950602975,6.928929536044319,69.48100030542385,10.03186869616044,Poor
-63.63006350614865,28.172030955386884,174,20,4.792489178338701,24.768677038908194,101.4014684586931,69.09213736976483,51.15645887636713,Poor
-66.31035897434107,23.96349707320996,323,20,2.155434313116447,24.920759257126004,7.086017334992634,73.07405150435048,45.153473883943114,Poor
-84.1260012713349,29.938023316000123,30,100,2.746713224513788,23.844523460768727,32.59970296363866,56.25294254781763,230.77366616675906,Medium
-64.687545898613,10.521354463551305,91,100,2.6662569963955125,9.217557997842428,12.450761224302767,66.94421759923188,182.83394991936203,Medium
-114.69044987688483,23.015648667933807,78,100,3.1838085852216356,25.279879328432724,35.4506443576518,68.06421558224741,195.73286806578213,Medium
-108.24102825485129,12.057927408277266,140,60,3.7411641566594795,16.74694584555281,10.867136112110458,67.8434012978417,83.85567391661202,Medium
-117.28636266536772,14.396268609117266,96,100,1.1252093808543606,11.840435157143071,80.16039008916168,57.527347410432014,193.04893413517442,Medium
-100.48018015420413,18.825163896551103,227,60,2.6436220954921783,19.134568831422758,15.999217961109018,80.2796993180758,105.61810520735354,Poor
-96.67936261863107,26.21031342559016,430,20,4.129588536580152,1.357890335750846,102.22151110066655,71.05941452068063,26.53479815458207,Poor
-103.71905809356625,29.522504075978855,481,20,2.315573569187557,5.145865450421812,98.06292608719691,71.4866315539454,26.448795116451265,Poor
-70.27574945088423,23.048202415935545,314,20,1.392287731867865,22.526512606937622,1.6394022564731303,73.81445470605343,47.61227326996231,Poor
-98.59480039838465,12.533003465020013,412,40,3.2735453767814953,8.080686652768437,107.48716266181376,86.13626906923993,24.61581863570472,Poor
-103.14392941875715,12.640710068312105,380,40,4.118836978995615,18.34226440253374,3.473318009204047,89.75220824802992,32.48678317886021,Poor
-87.43823501050508,22.127469047666743,354,80,0.3157014646369566,12.16797548186786,28.757494194906794,62.38763900578252,153.86293598358642,Medium
-111.54454650151425,7.1633143730490705,350,80,3.8839524170361357,25.78936758517858,3.886696533119407,96.63530426253716,80.8458065082485,Poor
-71.86818115475762,3.3142233939418397,393,80,4.108239664808856,28.620043873902663,40.30121844471792,103.48731498106143,92.38849136735169,Poor
-115.52696137921374,10.638664729223295,405,40,2.307614637943034,26.623377122735523,61.6639830855926,93.31686565465388,41.56816698999862,Poor
-60.78678380396896,8.617169749622452,454,40,4.916528284092337,8.847979846114303,95.59738428181657,89.0609535339154,18.874668067071465,Poor
